"","b","cd4","cd8","nk","monocyte","neutrophil"
"cg05005728",0.976616383499045,0.977478243134821,0.982254915482991,0.972215245451972,0.0770348505255912,0.668446681418489
"cg05062263",0.97982218157847,0.940302668845714,0.921450046517764,0.600094719385337,0.674822397712082,0.0110557537301245
"cg15819435",0.93661886923801,0.93022587980326,0.954795713726037,0.952808823744711,0.0189975676074345,0.703351009961464
"cg08017518",0.978134824464484,0.836924993602446,0.0849033933818488,0.947920749794201,0.966419768260468,0.961548444769848
"cg04985318",0.947656520668012,0.976807162376928,0.977737453989468,0.960937959453268,0.59691179103266,0.0169363839759529
"cg15021006",0.961618607895041,0.896580845300175,0.533993936183021,0.0635657390008974,0.953867001904002,0.942547712224668
"cg24547614",0.983350551513543,0.985970117162661,0.982762149800238,0.977946079743403,0.712261936873119,0.00968144457077569
"cg18438462",0.93839820318303,0.898894290203545,0.950624814908401,0.980237486842769,0.112941848092851,0.976895882400127
"cg09422942",0.0147400466302757,0.884760271088256,0.735568110476236,0.0941489190123961,0.0145350585754148,0.0157626741721495
"cg25792138",0.910696562024273,0.0522295474780632,0.0718469259817681,0.856708142506927,0.969865742357878,0.962525769593038
"cg20340870",0.979178259407213,0.968945573959266,0.97716738050474,0.968615455137488,0.242926583185993,0.0099183724983183
"cg02523978",0.979042289101199,0.982829622885967,0.975228041714409,0.976592547059643,0.0816614503845302,0.907841008264283
"cg07582886",0.980331897029986,0.977760288305723,0.984411788660079,0.969833309589005,0.213737413463876,0.0102254966851658
"cg03656086",0.00962068577998054,0.904100636040547,0.948730883227114,0.506561712459364,0.00622666757586382,0.0133277936054393
"cg11661493",0.977513552654301,0.978138467472028,0.981006621826929,0.984169549583331,0.0421990267409504,0.888577406230777
"cg01179423",0.00832768255954626,0.900877144418414,0.943364185465774,0.965392717039507,0.981795343604988,0.983886697894184
"cg01024458",0.848848345695579,0.130544558731979,0.460037546906283,0.932205361375763,0.977422833530067,0.973562938092237
"cg10727316",0.964439071445309,0.974085588174305,0.975049979398084,0.969710262862335,0.890280162226058,0.132183627396625
"cg17575365",0.022896766006405,0.964261372024335,0.971550724660998,0.96295745381777,0.969919617916812,0.977923450870894
"cg11118428",0.974872165631816,0.958182373914524,0.958563744676211,0.961798926214178,0.0573543213318639,0.601885427399197
"cg11217679",0.96452818683848,0.928594563828786,0.889622633006015,0.948977765305258,0.549254278891792,0.02052792832307
"cg25003656",0.879035156795315,0.964307060496907,0.972637389816358,0.967113036962731,0.0845836740116654,0.888227968915424
