chrom	start	end	bcell_meth	bcell_depth	cd4_meth	cd4_depth	cd8_meth	cd8_depth	monocyte_meth	monocyte_depth	neutrophil_meth	neutrophil_depth	nk_meth	nk_depth
chr1	6082444	6082945	773.0	824.0	920.0	988.0	766.0	835.0	465.0	750.0	142.0	954.0	731.0	787.0
chr1	6294750	6295251	1994.0	2201.0	2024.0	2281.0	1110.0	2274.0	1603.0	1917.0	1805.0	2701.0	110.0	2226.0
chr1	7773913	7774414	633.0	651.0	632.0	662.0	752.0	785.0	208.0	686.0	15.0	895.0	636.0	664.0
chr1	8388117	8388618	1427.0	1506.0	1596.0	1647.0	1268.0	1317.0	888.0	1680.0	696.0	2319.0	1460.0	1539.0
chr1	11843687	11844188	1107.0	1215.0	1230.0	1316.0	1141.0	1234.0	172.0	993.0	580.0	1424.0	1123.0	1210.0
chr1	21278875	21279376	2806.0	2947.0	2584.0	2788.0	1562.0	2623.0	2078.0	2177.0	3314.0	3488.0	660.0	2370.0
chr1	21279036	21279537	2612.0	2735.0	2496.0	2665.0	1613.0	2415.0	2002.0	2093.0	3111.0	3259.0	927.0	2320.0
chr1	24912942	24913443	310.0	342.0	351.0	379.0	95.0	305.0	273.0	291.0	356.0	365.0	16.0	336.0
chr1	26542628	26543129	66.0	1326.0	1122.0	1468.0	562.0	1250.0	30.0	1218.0	38.0	1646.0	62.0	1294.0
chr1	26542634	26543135	70.0	1414.0	1223.0	1577.0	626.0	1334.0	33.0	1285.0	41.0	1752.0	69.0	1389.0
chr1	35345297	35345798	1138.0	1176.0	1011.0	1057.0	1055.0	1091.0	104.0	908.0	43.0	1290.0	1037.0	1077.0
chr1	35800437	35800938	948.0	1036.0	948.0	1000.0	897.0	979.0	187.0	897.0	258.0	1230.0	926.0	998.0
chr1	41691875	41692376	1439.0	1522.0	1339.0	1381.0	1379.0	1436.0	557.0	1450.0	1564.0	1702.0	1431.0	1470.0
chr1	44694753	44695254	126.0	804.0	769.0	813.0	743.0	841.0	621.0	639.0	769.0	803.0	634.0	676.0
chr1	94020906	94021407	775.0	837.0	888.0	957.0	499.0	963.0	800.0	850.0	1049.0	1118.0	57.0	904.0
chr1	109685816	109686317	79.0	85.0	123.0	126.0	88.0	91.0	54.0	54.0	36.0	62.0	85.0	86.0
chr1	111127917	111128418	15.0	278.0	218.0	276.0	201.0	228.0	28.0	224.0	236.0	284.0	183.0	239.0
chr1	111219601	111220102	22.0	542.0	17.0	541.0	19.0	553.0	25.0	509.0	567.0	587.0	13.0	502.0
chr1	145750291	145750792	855.0	902.0	771.0	826.0	824.0	889.0	423.0	720.0	316.0	1125.0	722.0	757.0
chr1	149684407	149684908	129.0	142.0	127.0	131.0	119.0	125.0	20.0	130.0	3.0	177.0	155.0	166.0
chr1	152037782	152038283	1803.0	1887.0	1974.0	2057.0	1998.0	2092.0	1128.0	1848.0	1123.0	2477.0	1784.0	1855.0
